rentalZoneID:ID(RENTAL-ZONE-ID)|name|code|type|city|latitude:float|longtitude:float|poiAirport|poiLongDistanceTrains|poiSuburbanTrains|poiUnderground|:LABEL
401808|Gladbacher Wall|GLW|stationbased|Köln|50,953425590928700||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401809|Schlosserstraße|SCH|stationbased|Stuttgart|48,769677201288240||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401811|Vogelsanger Straße / Ehrenfeldgürtel|VOG|stationbased|Köln|50,948342807657180||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401812|Graeffstraße|GRA|stationbased|Köln|50,949600037173106||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401813|Bahnhof Ehrenfeld|BFE / HUT|stationbased|Köln|50,952209017873436||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401814|Goltsteinstraße|GOL|stationbased|Köln|50,911421886199260||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401815|Deutzer Freiheit|DFR|stationbased|Köln|50,937201998318040||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401821|Hoppenlaustraße|HOP|stationbased|Stuttgart|48,782515168288330||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401822|Landhausstraße|LHS|stationbased|Stuttgart|48,782621209692040||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401823|Klagenfurter Straße|KLA|stationbased|Stuttgart|48,811201799969990||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401824|Katzenbach- / Büsnauer Straße|KBÜ|stationbased|Stuttgart|48,733712365137010||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401825|In der Lüsse (Abenteuerspielplatz)|IDL|stationbased|Stuttgart|48,736457896864290||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401826|S-Bahnhof Jannowitzbrücke|JAN|stationbased|Berlin|52,513974867830505||Nein|Nein|Ja|Nein|STATION;STATIONBASED;INACTIVE
